wavelength,power_1,CI_Low_1,CI_High_1,power_2,CI_Low_2,CI_High_2,power,CI_Low,CI_High,power_4,CI_Low_4,CI_High_4,power_4b,CI_Low_4b,CI_High_4b,power_5b,CI_Low_5b,CI_High_5b,trans,refl,trans_adj,refl_adj,trans_adj_bs,refl_adj_bs
451,1.30E-06,1.29E-06,1.30E-06,6.16E-07,6.14E-07,6.17E-07,6.64E-07,6.63E-07,6.64E-07,3.29E-09,3.02E-09,3.57E-09,3.41E-09,2.89E-09,3.93E-09,5.08E-09,4.75E-09,5.42E-09,47.46293099,51.15353196,47.32925052,51.02924222,47.32046402,50.891165
452,1.32E-06,1.32E-06,1.32E-06,6.35E-07,6.34E-07,6.36E-07,6.66E-07,6.65E-07,6.66E-07,3.38E-09,3.26E-09,3.50E-09,3.61E-09,3.30E-09,3.92E-09,5.37E-09,4.82E-09,5.91E-09,48.13731748,50.42258963,48.0040719,50.29521537,47.98683777,50.14441821
453,1.34E-06,1.34E-06,1.35E-06,6.53E-07,6.52E-07,6.54E-07,6.70E-07,6.69E-07,6.70E-07,3.30E-09,3.07E-09,3.54E-09,3.54E-09,3.24E-09,3.84E-09,5.31E-09,4.77E-09,5.84E-09,48.67745382,49.90071332,48.55087138,49.77714793,48.5333588,49.62738159
454,1.36E-06,1.36E-06,1.37E-06,6.69E-07,6.68E-07,6.70E-07,6.76E-07,6.76E-07,6.76E-07,3.37E-09,3.18E-09,3.57E-09,3.41E-09,3.08E-09,3.75E-09,5.22E-09,4.69E-09,5.75E-09,49.04877398,49.55859778,48.92245769,49.43354542,48.91949484,49.29786006
455,1.39E-06,1.38E-06,1.39E-06,6.82E-07,6.81E-07,6.83E-07,6.85E-07,6.85E-07,6.86E-07,3.33E-09,3.17E-09,3.48E-09,3.51E-09,3.13E-09,3.89E-09,5.31E-09,4.97E-09,5.65E-09,49.18952547,49.42752865,49.06736526,49.30594067,49.05398973,49.16229672
456,1.41E-06,1.41E-06,1.41E-06,6.93E-07,6.92E-07,6.94E-07,6.98E-07,6.98E-07,6.99E-07,3.33E-09,3.15E-09,3.50E-09,3.46E-09,2.99E-09,3.93E-09,5.21E-09,4.80E-09,5.62E-09,49.14688828,49.54983426,49.02659566,49.43049481,49.01689198,49.29635688
457,1.43E-06,1.43E-06,1.44E-06,7.00E-07,7.00E-07,7.01E-07,7.13E-07,7.13E-07,7.14E-07,3.30E-09,3.16E-09,3.45E-09,3.41E-09,3.16E-09,3.66E-09,5.30E-09,4.94E-09,5.65E-09,48.92265297,49.82016595,48.8045718,49.70415967,48.79728438,49.56458147
458,1.45E-06,1.45E-06,1.46E-06,7.06E-07,7.06E-07,7.07E-07,7.31E-07,7.30E-07,7.31E-07,3.28E-09,2.83E-09,3.73E-09,3.56E-09,3.11E-09,4.00E-09,5.21E-09,4.48E-09,5.94E-09,48.56119374,50.232337,48.4449858,50.11990442,48.42571956,49.98669373
459,1.48E-06,1.47E-06,1.48E-06,7.11E-07,7.10E-07,7.11E-07,7.50E-07,7.49E-07,7.50E-07,3.19E-09,2.85E-09,3.53E-09,3.47E-09,2.99E-09,3.95E-09,5.41E-09,5.34E-09,5.47E-09,48.1139569,50.76667056,48.00159268,50.66005104,47.98266256,50.50969711
460,1.50E-06,1.50E-06,1.50E-06,7.13E-07,7.13E-07,7.14E-07,7.70E-07,7.70E-07,7.71E-07,3.16E-09,2.84E-09,3.48E-09,3.50E-09,3.07E-09,3.94E-09,5.31E-09,4.82E-09,5.80E-09,47.5705902,51.37233893,47.4598698,51.26964706,47.43702072,51.12617399
461,1.52E-06,1.52E-06,1.53E-06,7.15E-07,7.14E-07,7.16E-07,7.92E-07,7.92E-07,7.92E-07,3.05E-09,2.68E-09,3.42E-09,3.40E-09,3.30E-09,3.49E-09,5.26E-09,4.99E-09,5.54E-09,46.95607845,52.02120335,46.84961983,51.92491039,46.8266475,51.77924754
462,1.55E-06,1.54E-06,1.55E-06,7.16E-07,7.16E-07,7.17E-07,8.15E-07,8.14E-07,8.15E-07,3.21E-09,3.00E-09,3.42E-09,3.49E-09,2.88E-09,4.09E-09,5.20E-09,4.88E-09,5.53E-09,46.34390527,52.68749789,46.23227714,52.58906721,46.21431583,52.45975012
463,1.57E-06,1.57E-06,1.57E-06,7.17E-07,7.17E-07,7.18E-07,8.37E-07,8.36E-07,8.37E-07,3.19E-09,2.79E-09,3.59E-09,3.55E-09,3.13E-09,3.97E-09,5.22E-09,4.91E-09,5.53E-09,45.72421832,53.3371367,45.61373763,53.24215243,45.59052719,53.11247606
464,1.59E-06,1.59E-06,1.60E-06,7.19E-07,7.18E-07,7.19E-07,8.59E-07,8.59E-07,8.60E-07,3.06E-09,2.86E-09,3.26E-09,3.63E-09,3.31E-09,3.95E-09,5.38E-09,5.16E-09,5.59E-09,45.14702106,53.96924459,45.04131863,53.8805427,45.00559786,53.7346834
465,1.61E-06,1.61E-06,1.62E-06,7.20E-07,7.18E-07,7.21E-07,8.81E-07,8.80E-07,8.81E-07,3.19E-09,2.88E-09,3.50E-09,3.62E-09,3.17E-09,4.07E-09,5.27E-09,5.16E-09,5.38E-09,44.56627276,54.54016389,44.45657976,54.45020736,44.42973508,54.32086266
466,1.64E-06,1.63E-06,1.64E-06,7.22E-07,7.21E-07,7.23E-07,9.02E-07,9.02E-07,9.03E-07,3.15E-09,3.08E-09,3.22E-09,3.48E-09,3.21E-09,3.75E-09,5.33E-09,5.09E-09,5.57E-09,44.07543443,55.07598313,43.96764841,54.98939898,43.94748253,54.8559207
467,1.66E-06,1.66E-06,1.67E-06,7.25E-07,7.24E-07,7.26E-07,9.22E-07,9.22E-07,9.23E-07,2.96E-09,2.92E-09,3.00E-09,3.58E-09,3.18E-09,3.97E-09,5.24E-09,4.85E-09,5.64E-09,43.62777281,55.5223762,43.52728073,55.44308807,43.48996588,55.30516661
468,1.68E-06,1.68E-06,1.69E-06,7.29E-07,7.28E-07,7.30E-07,9.42E-07,9.41E-07,9.42E-07,3.12E-09,2.77E-09,3.47E-09,3.53E-09,3.13E-09,3.93E-09,5.28E-09,4.76E-09,5.80E-09,43.26212497,55.89686993,43.15677233,55.81497787,43.13259845,55.68666964
469,1.71E-06,1.70E-06,1.71E-06,7.33E-07,7.32E-07,7.34E-07,9.60E-07,9.59E-07,9.60E-07,3.05E-09,2.71E-09,3.39E-09,3.56E-09,3.48E-09,3.65E-09,5.19E-09,4.60E-09,5.78E-09,42.97070685,56.2371408,42.86846212,56.15868073,42.83868946,56.03317772
